no,lokasi,objek_wisata_seq
1,Jakarta,"Kota Tua,Ragunan,Monas,Sea World Ancol"
2,Jakarta,"Monas,Masjid Istiqlal,Mall Thamrin City,Tanah Abang,Museum Fatahillah,Ragunan,Sea World Ancol,Pantai Ancol Jakarta"
3,Jakarta,"Monas,Museum Sejarah Jakarta,Kota Tua,Gedung Bank Indonesia,Sudirman-Thamrin,Taman Mini Indonesia Indah,Galeri Nasional Indonesia"
4,Jakarta,"Monas,Kota Tua,Sea World Ancol,Mall Thamrin City"
5,Jakarta,"Pasar Baru,Masjid Jami Kebon Jeruk,Museum BI,Gedung Arsip,Museum Nasional,Balai Kota,IRTI,Monas,Juanda"
6,Jakarta,"Pasar Baru,Pecenongan,Museum Nasional,Menara Topas,Plaza Indonesia,Sarinah,Balai Kota,Monas,Juanda"
7,Jakarta,"Pasar Baru,Pecenongan,Museum Nasional,Plaza Indonesia,GBK,Istora,FX Sudirman,Bundaran Senayan,Wisma Nusantara,Balai Kota"
8,Jakarta,"Kota Tua,Sea World Ancol,Monas,Mall Thamrin City"
9,Jakarta,"PIK,Kota Tua,Ragunan,Sea World Ancol"
10,Jakarta,"Pelabuhan Sunda Kelapa,Museum Fatahillah,ITC Mangga Dua,Sea World Ancol,Monas,Tanah Abang"
11,Bogor,"Ikon Kota Bogor Lawang Salapan,Tugu Kujang,Kebun Raya Bogor,Museum Zeologi,Jungle Water Park"
12,Bogor,"Kebun Raya Bogor,Gunung Gede Pangrango dan Kunjungan ke Perkebunan Teh"
13,Bogor,"Paralayang Bukit Gantole Puncak,Taman Bunga Nusantara,Highland Park Resort,Curug 7 Cilember"
14,Bogor,"Kebun Raya Bogor,The Ranch Puncak,Cimory Riverside"
15,Bandung,"Gedung Sate,Desa Batik Trusmi,Kawah Putih,Gunung Tangkuban Perahu"
16,Bandung,"Gunung Tangkuban Perahu,Floating Market,Braga Citywalk,Dusun Bambu,Farmhouse Lembang"
17,Bandung,"Kawah Putih,Glamping Lakeside Situ Patenggang,Penangkaran Rusa Ranca Upas,Farmhouse Lembang,Kartika Sari Oleh-Oleh"
18,Bandung,"Dusun Bambu,Farmhouse Lembang,Braga Citywalk,Kawah Putih,Glamping Lakeside Situ Patenggang,Penangkaran Rusa Ranca Upas,Cibaduyut,Cihampelas,Kartika Sari Oleh-Oleh"
19,Bandung,"Gunung Tangkuban Perahu,Orchid Forest,Dusun Bambu,Farmhouse Lembang,Cihampelas,Braga Citywalk,China Town,Kartika Sari Oleh-Oleh"
20,Bandung,"The Lodge Maribay,Floating Market,Farmhouse Lembang"
21,Bandung,"Dusun Bambu,Farmhouse Lembang,Floating Market"
22,Bandung,"Gunung Tangkuban Perahu,Floating Market,Farmhouse Lembang,Gedung Sate,Alun - alun Kota Bandung,Trans Studio Bandung"
23,Bandung,"Gedung Merdeka Asia-Afrika,Gedung Sate,Saung Angklung Udjo,Kawah Putih,Glamping Lakeside Situ Patenggang,Penangkaran Rusa Ranca Upas,Dusun Bambu,Floating Market,Farmhouse Lembang"
24,Bandung,"Braga Citywalk,Air Panas Ciater,Gunung Tangkuban Perahu,The Lodge Maribay,Floating Market,Farmhouse Lembang,Mall Pascal,Trans Studio Bandung,Kawah Putih,Kebun Teh Rancabali,Glamping Lakeside Situ Patenggang,Kartika Sari Oleh-Oleh"
25,Bandung,"Gunung Tangkuban Perahu,Gunung Tangkuban Perahu,Taman Bunga Begonia,The Lodge Maribay,Floating Market,Farmhouse Lembang"
26,Bandung,"Gedung Sate,Saung Angklung Udjo,Alun - alun Kota Bandung,Kawah Putih,Glamping Lakeside Situ Patenggang,Cibaduyut,Kawah Putih"
27,Bandung,"Kawah Putih,Glamping Lakeside Situ Patenggang,Glamping Lakeside Situ Patenggang,Kebun Teh Rancabali,Kebun Strawberry,Cibaduyut,The Lodge Maribay,Taman Bunga Begonia,Dusun Bambu,Farmhouse Lembang"
28,Bandung,"Trans Studio Bandung,The Lodge Maribay,De Ranch,Farmhouse Lembang,Farmhouse Lembang,Braga Citywalk,China Town,Cihampelas"
29,Bandung,"Floating Market,Gunung Tangkuban Perahu,Kebun Strawberry,Cihampelas"
30,Bandung,"Kawah Putih,Penangkaran Rusa Ranca Upas,Kebun Teh Rancabali,Glamping Lakeside Situ Patenggang,Farmhouse Lembang,Penangkaran Rusa Ranca Upas,Kebun Teh Rancabali,Glamping Lakeside Situ Patenggang,Kebun Strawberry"
31,Bandung,"Jl Asia Afrika,Dusun Bambu,Floating Market,Farmhouse Lembang,Cihampelas,Kartika Sari Oleh-Oleh"
32,Bandung,"Kawah Putih,Glamping Lakeside Situ Patenggang,Glamping Lakeside Situ Patenggang,Kebun Teh Rancabali,Kebun Strawberry,Gunung Tangkuban Perahu,Curug Pelangi,Dusun Bambu,Farmhouse Lembang,The Lodge Maribay,Taman Bunga Begonia,De Ranch,Farmhouse Lembang,Cihampelas"
33,Bandung,"Kawah Putih,Glamping Lakeside Situ Patenggang"
34,Bandung,"The Lodge Maribay,Curug Pelangi,Dusun Bambu,Braga Citywalk,Gedung Merdeka Asia-Afrika,China Town,Cihampelas"
35,Malang,"Gedung Sate,Gedung Merdeka Asia-Afrika,Braga Citywalk,ZEN SPA,Cimory On The Valley,Gunung Tangkuban Perahu,Floating Market,Farmhouse Lembang,Gracia Resort,Cihampelas"
36,Malang,"Santera Delaponte,Desa Wisata Pujon Kidul,Cafe Sawah,Air Terjun Coban Rondo,Taman Labirin Coban Rondo,Museum Angkut,Bukit Perahu,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo"
37,Malang,"Santera Delaponte,Desa Wisata Pujon Kidul,Cafe Sawah,Air Terjun Coban Rondo,Taman Labirin Coban Rondo,Jatim Park 3,Bukit Perahu,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo"
38,Malang,"Santera Delaponte,Desa Wisata Pujon Kidul,Cafe Sawah,Air Terjun Coban Rondo,Taman Labirin Coban Rondo,Museum Angkut,Bukit Perahu,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo"
39,Malang,"Santera Delaponte,Desa Wisata Pujon Kidul,Cafe Sawah,Air Terjun Coban Rondo,Taman Labirin Coban Rondo,Jatim Park 3,Bukit Perahu,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo"
40,Malang,"Santera Delaponte,Desa Wisata Pujon Kidul,Cafe Sawah,Air Terjun Coban Rondo,Taman Labirin Coban Rondo,Museum Angkut,Bukit Perahu,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo"
41,Malang,"Santera Delaponte,Desa Wisata Pujon Kidul,Cafe Sawah,Air Terjun Coban Rondo,Taman Labirin Coban Rondo,Jatim Park 3,Bukit Perahu,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo"
42,Malang,"Taman Labirin Coban Rondo,Cafe Sawah,Santera Delaponte,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Museum Angkut,Kawah Bromo,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Batu Night Spectacular,Perkebunan Petani Bumiaji"
43,Malang,"Taman Labirin Coban Rondo,Cafe Sawah,Santera Delaponte,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Museum Angkut,Kawah Bromo,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Batu Night Spectacular,Perkebunan Petani Bumiaji"
44,Malang,"Taman Labirin Coban Rondo,Cafe Sawah,Santera Delaponte,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,The Lodge Maribay,Kawah Bromo,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Batu Night Spectacular,Perkebunan Petani Bumiaji"
45,Malang,"Taman Labirin Coban Rondo,Cafe Sawah,Santera Delaponte,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,Museum Angkut,Kawah Bromo,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Batu Night Spectacular,Perkebunan Petani Bumiaji"
46,Malang,"Taman Labirin Coban Rondo,Cafe Sawah,Santera Delaponte,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,The Lodge Maribay,Kawah Bromo,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Batu Night Spectacular,Perkebunan Petani Bumiaji"
47,Malang,"Pantai Balekambang,Pantai Gua Cina,Sarkawi Lumajang,Air terjun Tumpak Sewu,Panorama Kapas Biru"
48,Malang,"Pantai Balekambang,Pantai Teluk Asmara,Sarkawi Lumajang,Air terjun Tumpak Sewu,Panorama Kapas Biru"
49,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 1,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
50,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 2,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
51,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 3,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
52,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
