place_id,place_name,location,description,category,city,rating,lat,long,kelurahan,kecamatan,open_hour
1,Kota Tua,"Jalan Kali Besar Barat, RT.11/RW.2, Pinangsia, Kota Tua, Jakarta Barat, DKI Jakarta 11110, Indonesia","Kompleks budaya yang bersejarah dan terkenal sebagai pusat pariwisata di Jakarta. Terdapat berbagai bangunan bersejarah, museum, serta kafe dan restoran yang menawarkan pengalaman wisata yang unik.",Pusat Perbelanjaan,Jakarta,9,-6.137645,106.817124,Pinangsia,Tamansari,09:00 - 21:00
2,Ragunan,"Jl. Harsono No.1, Ragunan, Ps. Minggu, Jakarta Selatan",Taman Margasatwa Ragunan: Taman margasatwa terbesar di Jakarta dengan berbagai koleksi hewan langka dan atraksi menarik untuk pengunjung.,Cagar Alam,Jakarta,8.6,-6.3116,106.8205,Ragunan,Pasar Minggu,07:30 - 16:00
3,Monas,"Jl. Medan Merdeka, Gambir, Jakarta Pusat","Monas adalah monumen nasional yang terletak di pusat ibu kota Jakarta, Indonesia. Monas merupakan simbol keberanian dan perjuangan bangsa Indonesia untuk meraih kemerdekaan.",Cagar Alam,Jakarta,9.2,-6.175392,106.827153,Gambir,Gambir,08:00 - 15:00
4,Masjid Istiqlal,"Jalan Taman Wijaya Kusuma No. 1, Jakarta Pusat, Indonesia",Masjid Istiqlal adalah masjid terbesar di Indonesia dan memiliki desain arsitektur modern yang megah. Masjid ini terletak di Jakarta Pusat dan merupakan salah satu tempat ibadah penting bagi umat Muslim di Indonesia.,Tempat Ibadah,Jakarta,9.4,-6.169289,106.830536,Pasar Baru,Sawah Besar,24 Hours
5,Mall Thamrin City,"Jl. Thamrin Boulevard, Kebon Melati, Tanah Abang, Jakarta Pusat",Mall Thamrin City adalah pusat perbelanjaan di Jakarta yang menawarkan berbagai macam barang fashion dan kuliner.Mall ini terletak di jantung ibu kota dan mudah diakses melalui transportasi umum.,Pusat Perbelanjaan,Jakarta,8.4,-6.188456,106.823712,Kebon Melati,Tanah Abang,10:00 - 22:00
6,Museum Fatahillah,"Jalan Taman Fatahillah No. 1, Pinangsia, Tamansari, Jakarta Barat, DKI Jakarta 11110, Indonesia","Museum Fatahillah is a historical museum located in Jakarta, Indonesia. It showcases the history and culture of Jakarta through various artifacts and exhibits.",Budaya,Jakarta,8.6,-6.135199,106.8133,Pinangsia,Taman Sari,09:00 - 15:00
7,Sea World Ancol,"Jl. Lodan Timur No.7, Ancol, Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia",Sea World Ancol adalah akuarium raksasa di Jakarta yang menampilkan berbagai spesies hewan laut dalam lingkungan yang terkendali. Pengunjung dapat menikmati pertunjukan lumba-lumba dan menyaksikan atraksi hewan laut lainnya.,Taman Hiburan,Jakarta,9,-6.1236,106.8333,Ancol,Pademangan,09:00 - 18:00
8,Pantai Ancol Jakarta,"Jalan Lodan Timur No. 7, Ancol, Pademangan, Jakarta Utara",Pantai Ancol Jakarta adalah pantai populer yang terletak di ibu kota Indonesia. Pantai ini menawarkan pemandangan laut yang indah dan beragam fasilitas rekreasi.,Taman Hiburan,Jakarta,8.4,-6.1184,106.8462,Ancol,Pademangan,24 Hours
9,Museum Sejarah Jakarta,"Jl. Taman Fatahillah No. 1, Pinangsia, Tamansari, Jakarta Barat, DKI Jakarta 11110",The Museum Sejarah Jakarta showcases the history and cultural heritage of Jakarta through various artifacts and exhibits. It is a must-visit destination for those wanting to learn more about the city's rich and diverse past.,Museum Sejarah Jakarta: Tempat Ibadah,Jakarta,8.6,-6.135199,106.8133,Pinangsia,Taman Sari,09:00 - 15:00
10,Gedung Bank Indonesia,"Jl. M H Thamrin No.1, Central Jakarta, Indonesia 10310","Gedung Bank Indonesia adalah bangunan megah yang merupakan kantor pusat Bank Indonesia dan menjadi salah satu landmark di Jakarta. Gedung ini terletak di pusat kota Jakarta, di seberang Monumen Nasional (Monas), dan menjadi saksi sejarah perjalanan ekonomi Indonesia.",Pusat Perbelanjaan,Jakarta,8.8,-6.1389,106.8142,Pinangsia,Taman Sari,08:00 - 17:00
11,Sudirman-Thamrin,"Jalan Sudirman-Thamrin, Jakarta Pusat",Jalan Sudirman-Thamrin adalah jalan utama di pusat bisnis Jakarta yang dipenuhi dengan gedung perkantoran dan pusat perbelanjaan. Jalan ini ramai dilalui kendaraan dan pejalan kaki setiap hari.,Pusat Perbelanjaan,Jakarta,8.8,-6.20152,106.822249,Menteng,Menteng,24 Hours
12,Taman Mini Indonesia Indah,"Jl. Taman Mini I No. 1, East Jakarta, Indonesia",Taman Mini Indonesia Indah adalah taman budaya di Jakarta yang menampilkan miniatur dari berbagai bangunan dan kebudayaan di Indonesia. Tempat ini memiliki berbagai wahana dan atraksi yang menarik untuk wisatawan lokal maupun mancanegara.,Taman Hiburan,Jakarta,9,-6.3028,106.8958,Ceger,Cipayung,07:00 - 21:00
13,Galeri Nasional Indonesia,"Jl. Medan Merdeka Timur No. 14, Jakarta Pusat",Galeri Nasional Indonesia adalah museum seni yang menampilkan karya seni modern dan kontemporer Indonesia. Tempat ini merupakan pusat pengembangan serta pelestarian seni rupa Indonesia.,Pusat Perbelanjaan,Jakarta,9.2,-6.1833,106.8333,Gambir,Gambir,09:00 - 16:00
14,Pasar Baru,"JL. Pintu Air Raya No. 1, Ps. Baru, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",Pasar Baru adalah pasar tradisional yang terletak di Jakarta Pusat yang menyediakan berbagai macam kebutuhan sehari-hari. Pasar Baru terkenal dengan ragamnya penjual tekstil dan bahan kerajinan kulit.,Pusat Perbelanjaan,Jakarta,8.4,-6.1666,106.8376,Pasar Baru,Sawah Besar,09:00 - 18:00
15,Masjid Jami Kebon Jeruk,"Jl. Jl. Raya Kebon Jeruk No. 6, RT.1/RW.7, Kebon Jeruk, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","A mosque located in Kebon Jeruk, with a traditional design and spacious prayer hall.",Tempat Ibadah,Jakarta,9,-6.1545,106.8047,Kebon Jeruk,Kebon Jeruk,24 Hours
16,Museum BI,"Jl. Pintu Besar Utara No.3, Pinangsia, Tamansari, Kota Jakarta Barat, DKI Jakarta 11110",Museum BI adalah museum yang berlokasi di Jakarta Selatan dan fokus pada sejarah dan perkembangan Bank Indonesia.,Bahari,Jakarta,9.2,-6.137599,106.813377,Pinangsia,Tamansari,08:00 - 15:30
17,Gedung Arsip,"Jl. GajahMada No.2, Jakarta Barat, DKI Jakarta 11140",Gedung Arsip adalah bangunan yang berfungsi sebagai tempat penyimpanan dokumen dan arsip penting pemerintah. Bangunan ini memiliki arsitektur yang megah dan dilengkapi dengan sistem keamanan yang ketat.,Taman Hiburan,Jakarta,8.8,-6.159731,106.820054,Mangga Besar,Tamansari,09:00 - 17:00
18,Museum Nasional,"Jl. Medan Merdeka Barat No. 12, Gambir, Jakarta Pusat 10110, Indonesia",Museum Nasional adalah museum terbesar di Indonesia yang menyimpan berbagai artefak sejarah dan budaya Indonesia.Museum ini terletak di Jakarta dan menjadi salah satu tempat yang harus dikunjungi bagi pecinta sejarah dan budaya.,Museum Nasional: 2,Jakarta,9,-6.175392,106.81974,Gambir,Gambir,08:00 - 16:00
19,Balai Kota,"Jl. Medan Merdeka Selatan No.8-9, Gambir, Jakarta Pusat",Balai Kota adalah sebuah gedung pemerintahan yang terletak di pusat kota. Bangunan ini berdiri megah dengan arsitektur yang indah.,Bahari,Jakarta,8.6,-6.175392,106.827153,Gambir,Gambir,08:00 - 16:00
20,IRTI,"Alam Sutera, Tangerang, Banten",Masjid Nabawi in Madinah is a historical mosque that is considered one of the holiest sites in Islam. It is the final resting place of Prophet Muhammad.,Taman Hiburan,Jakarta,8.4,-6.176678,106.827014,Gambir,Gambir,08:00 - 16:00
21,Juanda,,Tempat ini merupakan taman kota yang indah dengan berbagai jenis tanaman. Di sana juga terdapat area bermain dan ruang terbuka untuk berolahraga.,Taman Hiburan,Jakarta,8.6,-6.17311,106.83504,Pasar Baru,Sawah Besar,24 Hours
